seller_id,buyer_id,traded_energy,traded_price,traded_rate,bid_id,timestamp
Market Maker,Liege,36.0,1080.0,30.0,0fc74a18-93cb-4114-bb50-0f3389cde3b4,1691659751.6971574
B21,B15,12.0,180.0,15.0,40645644-f4e0-4e18-a39a-4eba30bf17b6,1691659780.7264383
B05a,B17,4.0,60.0,15.0,e29d67a0-1ff8-4a90-9a2e-15cf67f6abdd,1691659809.4266791
B05a,B10,12.0,180.0,15.0,6711fb51-0aed-4b80-be86-f8dd6cbbb0c5,1691659840.7808783
B06,B36,93.0,1395.0,15.0,dfb9933a-a984-421f-a0c0-62c88cc8aed4,1691659870.9479623
Liege,B52,26.0,780.0,30.0,cd304d86-022b-4b97-ba27-10e40b4160d2,1691659902.3761208
Market Maker,Liege,26.0,780.0,30.0,0e39f5ec-7749-417d-8f0c-0be7441f87cf,1691659931.7536836
Liege,B08,14.0,420.0,30.0,849a036f-6099-43cc-ad2d-b54adbdb5bce,1691659961.5951085
Market Maker,Liege,14.0,420.0,30.0,a1c5fec3-51aa-41e8-8920-ebe6a9c06f3b,1691659991.7520077
Liege,B22,43.0,1290.0,30.0,b97ce19d-1935-4c96-9acf-56410b9e8a4e,1691660022.65554
Market Maker,Liege,43.0,1290.0,30.0,fc4b9e25-2c3d-4a13-890d-2224b467adec,1691660054.2707286
Liege,B10,39.0,1170.0,30.0,bde6082f-2d70-4b7d-bf0b-5555f9a577bb,1691660087.8875546
Market Maker,Liege,39.0,1170.0,30.0,ce3fb3d5-ceee-49c0-a459-aaa3b54fa9a5,1691660119.712673
Liege,B31,11.0,330.0,30.0,95c82249-facf-4cc7-8ad5-113fed745cfc,1691660151.1932478
Market Maker,Liege,11.0,330.0,30.0,663b0efa-4f25-4173-a1d2-bed140045f47,1691660183.2901235
Liege,B28,76.0,2280.0,30.0,62d71037-d2bd-49d3-9987-9a460cac2131,1691660215.5644422
Market Maker,Liege,76.0,2280.0,30.0,bc87eb0a-89d5-46b2-a8b1-3ad1bd16f10f,1691660248.0572696
Liege,B15,70.0,2100.0,30.0,11c3097d-6e62-495c-9099-e7a3e98d9e86,1691660281.2626197
Market Maker,Liege,70.0,2100.0,30.0,edb78c08-4bd7-4bb5-9e4a-5789d4c909ab,1691660314.7732592
Liege,B11,2.0,60.0,30.0,067ca1fe-23af-405e-b4c2-84c2d50fbfbc,1691660348.355278
Market Maker,Liege,2.0,60.0,30.0,09da74da-de84-4587-808b-256e6be2370d,1691660382.350781
Liege,B23,89.0,2670.0,30.0,898eeb53-36b3-4d2d-a588-78ac8615a9e4,1691660417.098402
Market Maker,Liege,89.0,2670.0,30.0,262b749d-fdf9-453d-8770-02f40ac06a3b,1691660455.074758
Liege,B09,7.0,210.0,30.0,0f78ae31-fc57-471e-ad97-67ccbb241cd3,1691660491.0560694
Market Maker,Liege,7.0,210.0,30.0,1dd5b0fa-de80-4113-84e0-693c68fbf04a,1691660525.9522123
Liege,B04,3.0,90.0,30.0,d939da0a-1b25-4b13-8b90-4254ef0b164e,1691660561.2996507
Market Maker,Liege,3.0,90.0,30.0,ccb25e22-80f4-4cae-bce5-e3fdca6c2438,1691660597.996409
Liege,B42,49.0,1470.0,30.0,4c243b8f-140b-42d3-981e-1d462f34526a,1691660633.2672637
Market Maker,Liege,49.0,1470.0,30.0,7b3f6a6d-20ce-4ed0-84a2-7991925e9fab,1691660669.3561752
Liege,B36,37.0,1110.0,30.0,667b317c-89fe-4e30-8ce6-fbbaebbc6abc,1691660706.2526267
Market Maker,Liege,37.0,1110.0,30.0,68a6c77a-e1ba-4944-9ce4-19ddc62fcf16,1691660744.738397
Liege,B34,19.0,570.0,30.0,4381ad0f-b79f-476f-b620-36919fb75625,1691660789.3686304
Market Maker,Liege,19.0,570.0,30.0,819f2761-4f78-4ca9-bf88-c3f9f51e098d,1691660830.0076644
Liege,B13,10.0,300.0,30.0,d26031bc-d731-4689-85f5-f7ebf48fa917,1691660873.1264675
Market Maker,Liege,10.0,300.0,30.0,473276d9-0456-4dd0-acfe-8f954cba83dd,1691660914.9654884
B05a,B42,15.0,225.0,15.0,e4706a46-7976-44f1-8fcb-f932d901849c,1691660957.2431543
B06,B09,8.0,120.0,15.0,ef0059d2-3368-4ea9-8e7e-0660a5d1de60,1691660999.5877416
B06,B42,32.0,480.0,15.0,d0d1840c-c5f9-4431-a91a-2c5dc4f678bc,1691661044.3056304
B06,B10,52.0,780.0,15.0,36964e3b-b327-485b-9fce-3eb1f975f087,1691661088.3530471
B21,B36,9.0,135.0,15.0,30f39b5f-03b9-4977-a5dd-83e91f08d7fa,1691661134.1432807
Liege,B22,44.0,1320.0,30.0,221f2801-57da-43c1-b84b-9ead814c0e9c,1691661177.574688
Market Maker,Liege,44.0,1320.0,30.0,177e2430-0fc3-4fb8-beef-8216fe91cd53,1691661222.376933
Liege,B36,116.0,3480.0,30.0,e698ba84-2948-42cb-bb19-e7fcf6be3ae3,1691661267.7494552
Market Maker,Liege,116.0,3480.0,30.0,7d347149-bcd9-45ed-8aba-4f64d51e619b,1691661312.34064
Liege,B08,14.0,420.0,30.0,5ec7ccc3-7094-4a50-90c3-b9e4d2b90e5f,1691661358.5315733
Market Maker,Liege,14.0,420.0,30.0,eadea4be-2202-41fc-8d13-ce8c2ea95e50,1691661403.4288366
Liege,B28,76.0,2280.0,30.0,32a759d8-b3fe-4d33-8cbc-f1a348740705,1691661449.8545644
Market Maker,Liege,76.0,2280.0,30.0,c4e52c65-b529-447d-a3a8-aa77dd113ad5,1691661496.7395916
Liege,B34,21.0,630.0,30.0,f23c2fef-e315-4169-8781-a9dcb5a8de50,1691661542.6599355
Market Maker,Liege,21.0,630.0,30.0,36b7893a-c49e-41bf-8b06-a603f0bb572a,1691661590.0985858
Liege,B31,10.0,300.0,30.0,70b18e59-9b90-41d9-86cd-1be90c61db60,1691661642.8552155
Market Maker,Liege,10.0,300.0,30.0,e82d801e-54f8-4401-b41a-53eaeadb2fec,1691661692.2495437
Liege,B13,9.0,270.0,30.0,07d6251c-f893-45ca-9310-47dae87d1ccd,1691661734.470612
Market Maker,Liege,9.0,270.0,30.0,fd96a7dc-591c-4d8a-8f26-06df0d3779e2,1691661776.541668
Liege,B11,2.0,60.0,30.0,e3e5a4c1-e191-4165-ad2c-27260f42f221,1691661818.4506402
Market Maker,Liege,2.0,60.0,30.0,1fcaf28d-c308-4021-9873-a020b5c0293c,1691661884.472294
Liege,B17,3.0,90.0,30.0,5664f54e-ce79-48bb-ad1a-1e578d24d2bb,1691661975.8466036
Market Maker,Liege,3.0,90.0,30.0,ba921873-c615-4e8e-8d6b-01fed32e2048,1691662068.9254832
Liege,B15,87.0,2610.0,30.0,4a4f8a85-2bee-4202-ae48-5a4cc18ae158,1691662152.8118532
Market Maker,Liege,87.0,2610.0,30.0,92b3cc94-02e1-4c1c-af81-6972abedb9aa,1691662236.1430292
Liege,B23,88.0,2640.0,30.0,56052808-92bc-4f2b-b51d-07edb9b391cf,1691662322.910788
Market Maker,Liege,88.0,2640.0,30.0,9c9a3b0f-3e5d-46c1-bfa3-06f624c1a942,1691662407.1554844
Liege,B04,3.0,90.0,30.0,f3937128-7d80-470b-a556-a5b3ce8dca15,1691662490.701515
Market Maker,Liege,3.0,90.0,30.0,aebddd9b-389c-4633-b36b-64e0e2a6fc91,1691662578.9847028
Liege,B52,23.0,690.0,30.0,c3ba92a9-11e6-4551-b31d-48eb27e6df46,1691662667.513432
Market Maker,Liege,23.0,690.0,30.0,1a06b228-cdca-424e-a029-789d62edd30f,1691662782.1159086
B21,B08,8.0,120.0,15.0,ce1e4689-545f-4e25-9b68-e0268aced01c,1691662873.6688006
B05a,B36,19.0,285.0,15.0,3a340e60-9169-4440-b44a-545c65677f1e,1691662968.1601806
B06,B52,25.0,375.0,15.0,f558552e-1b5e-40f1-8c82-459de99436bc,1691663101.4370565
B06,B11,2.0,30.0,15.0,00b195b3-9622-4f7e-8f09-60aef9a5804d,1691663203.488946
B06,B09,8.0,120.0,15.0,6ee2aa1b-86ed-4b3b-bd78-e2ada5b502fc,1691663277.942097
B06,B17,3.0,45.0,15.0,9936c1f9-ee5a-4865-a159-1685b06435c5,1691663331.4746048
